text-typo-secondary,text-typo-gray href,text-typo-gray,text-primary href,text-primary,text-black,paperContributors_author_list__show_more__9jsqT,text-typo-secondary (2),text-primary href (2),text-primary (2),notranslate,notranslate (2),notranslate (3),notranslate (4),notranslate (5),notranslate (6),notranslate (7),text-black href,text-black (2),text-primary href (3),flex,font-medium,text-sm
Journal Article,https://www.doi.org/10.1155/2024/4145694,DOI,https://typeset.io/papers/does-lifestyle-affect-isotretinoin-tolerance-in-patients-2ozu8o0i32,1. Does Lifestyle Affect Isotretinoin Tolerance in Patients with Acne? A Retrospective Cohort Study,Julia Lewandowska,+3 more,01 Jan 2024,https://typeset.io/journals/dermatologic-therapy-i3syciyo,Dermatologic Therapy,"The study found that lifestyle factors such as smoking, BMI, physical activity, and diet do not significantly affect the incidence and severity of isotretinoin side effects.",The research paper evaluates the impact of lifestyle patterns on the occurrence and severity of systemic isotretinoin adverse events (AEs) in patients with acne.,"It examines factors such as smoking status, BMI, physical activity, and compliance with the Mediterranean diet.",The study found that there were generally no significant differences in patient characteristics across the groups.,Almost all classes and subclasses of AEs showed no significant differences among the groups.,"Therefore, lifestyle factors such as physical activity, smoking, and eating habits do not affect the incidence and severity of AEs.",NO,,,,,,
Open access,https://www.doi.org/10.5826/dpc.1302a121,DOI,https://typeset.io/papers/skeletal-side-effects-of-systemic-isotretinoin-treatment-do-1vj8hckg,"2. Skeletal Side Effects of Systemic Isotretinoin Treatment: Do They Depend on Age, Gender, Treatment Duration, Daily Dose and Isotretinoin-Naiveness?",,+4 more,01 Apr 2023,https://typeset.io/journals/dermatology-practical-conceptual-m8lsxsnk,Dermatology practical & conceptual,"The study found that age, gender, treatment duration, daily isotretinoin dose, and isotretinoin-naiveness do not influence the prevalence of side effects during systemic isotretinoin treatment.","The study aimed to determine the prevalence of fatigue, myalgia, and low back pain during systemic isotretinoin treatment.","It also sought to explore the relationship of these side effects with factors such as age, gender, treatment duration, daily isotretinoin dose, and isotretinoin-naiveness.",The results indicated that all examined side effects were found to be independent of the mentioned factors.,"Therefore, the study does not discuss any factors that are involved with worse side effects.",,NO,https://typeset.io/authors/defne-ozkoca-2fgmehwxrn,Defne Özkoca,https://doi.org/10.5826/dpc.1302a121,PDF,,
Journal Article,https://www.doi.org/10.5414/CP201874,DOI,https://typeset.io/papers/the-effect-of-genetic-polymorphisms-of-rara-gene-on-the-4mf4l40w6p,3. The effect of genetic polymorphisms of RARA gene on the adverse effects profile of isotretinoin-treated acne patients.,,+5 more,01 Aug 2013,,,"Genetic polymorphisms in the RARA gene, specifically haplotypes CTG, TTG, TCG, and TTT, significantly influence the severity of adverse effects experienced by isotretinoin-treated acne patients.",The study examines the association between genetic polymorphisms of the RARA gene and the adverse effects of isotretinoin treatment.,"It identifies specific haplotypes (CTG, TTG, TCG, TTT) that are significantly associated with various adverse effects such as arthralgia, myalgia, nose bleeds, and headache.",The research indicates that the TC genotype of the rs2715554 polymorphism is linked to increased levels of AST after one month of treatment.,"Additionally, allele T of rs9303285 is noted to be protective against developing depression in patients treated with isotretinoin.",,YES,https://typeset.io/authors/karem-h-alzoubi-d44ghjh4i6,Karem H. Alzoubi,,,19,
Journal Article,https://www.doi.org/10.3109/15569527.2011.633949,DOI,https://typeset.io/papers/the-new-therapy-schema-of-the-various-kinds-of-acne-based-on-1e3bmeuxy6,4. The new therapy schema of the various kinds of acne based on the mucosa-skin side effects of the retinoids.,,+1 more,17 Aug 2012,https://typeset.io/journals/cutaneous-and-ocular-toxicology-pkxox1lx,Cutaneous and Ocular Toxicology,"Skin parameters such as decreased moisturization, increased transepidermal water loss (TEWL), and intensified erythema during treatment are crucial factors determining the severity of isotretinoin side effects.","The most common adverse effects of oral isotretinoin include cheilitis, skin dryness, erythema, itching, scaling, bruising, skin atopy, conjunctivitis, dry eyes, and eyelid inflammation.","The research highlights that decreased skin moisturization, increased transepidermal water loss (TEWL), and intensified erythema during treatment are crucial factors responsible for patient discomfort.",The study concludes that these factors contribute to worse side effects experienced by patients undergoing isotretinoin treatment.,,,YES,https://typeset.io/authors/beata-bergler-czop-vtqslba8w4,Beata Bergler-Czop,,,11,
Open access,,,https://typeset.io/papers/aggravation-of-acne-by-isotretinoin-6-cases-predictive-12sgvmy6hp,"5. [Aggravation of acne by isotretinoin. 6 cases, predictive factors].",,+4 more,01 Aug 1998,https://typeset.io/journals/annales-de-dermatologie-et-de-venereologie-1xkta7fr,Annales De Dermatologie Et De Venereologie,"Four factors contribute to worse side effects from isotretinoin: male sex, younger age, retention-type acne, and a daily dose of 0.5 mg/kg or higher.",The research paper discusses factors that contribute to the aggravation of acne when treated with isotretinoin.,"Four specific factors are identified as contributing to worse side effects:
Male sex
Young age of the patients
Retentional type of acne
A daily dose of isotretinoin equal to or greater than 0.5 mg/kg/day",Male sex,Young age of the patients,Retentional type of acne,YES,https://typeset.io/authors/lehucher-ceyrac-d-200m1fbxiw,Lehucher Ceyrac D,,,6,
Journal Article,https://www.doi.org/10.1080/09546634.2021.1967269,DOI,https://typeset.io/papers/isotretinoin-for-acne-vulgaris-an-update-on-adverse-effects-1m9swasnb9,6. Isotretinoin for acne vulgaris - an update on adverse effects and laboratory monitoring.,,+2 more,11 Aug 2021,https://typeset.io/journals/journal-of-dermatological-treatment-2bsuip15,Journal of Dermatological Treatment,"Dose-dependent mucocutaneous side effects, individual patient sensitivity, and pre-existing conditions may influence the severity of side effects experienced with isotretinoin for acne vulgaris.","The text mentions that dose-dependent mucocutaneous side effects of isotretinoin are well recognized and can be easily managed, particularly with a lower dose.","It highlights concerns regarding a possible association with depression, which has gained media attention but is reassured by data from studies and meta-analyses.","There is confusion about associations with inflammatory bowel disease and other adverse effects, but specific factors involved with worse side effects are not detailed in the provided context.",,,NO,https://typeset.io/authors/haady-fallah-1n0750yasi,Haady Fallah,,,,
Open access,https://www.doi.org/10.21608/ejhm.2022.258686,DOI,https://typeset.io/papers/possible-side-effects-of-isotretinoin-use-in-dermatology-rf2ovr9i,7. Possible Side Effects of Isotretinoin Use in Dermatology: Review Article,,+2 more,01 Oct 2022,https://typeset.io/journals/the-egyptian-journal-of-hospital-medicine-3lwlh7t1,The Egyptian Journal of Hospital Medicine,"Factors include individual patient characteristics, dosage, duration of treatment, concurrent medications, and pre-existing health conditions, which can influence the severity of isotretinoin side effects.","The text discusses various side effects associated with isotretinoin use, including mucocutaneous, ocular, neurological, musculoskeletal, gastrointestinal, pulmonary, and hematologic effects.",It mentions the importance of obtaining thorough informed consent and closely monitoring patients to enhance clinical results and reduce adverse events.,"However, the text does not specify particular factors that are involved with worse side effects.",,,NO,https://typeset.io/authors/ghada-omar-hussein-abou-zommar-yfj1u7b3,Ghada Omar Hussein Abou Zommar,,,,
Open access,https://www.doi.org/10.1684/EJD.2008.0441,DOI,https://typeset.io/papers/predictive-factors-for-acne-flare-during-isotretinoin-2rxzc7knq3,8. Predictive factors for acne flare during isotretinoin treatment,,+2 more,24 Jun 2008,https://typeset.io/journals/european-journal-of-dermatology-1v5ivdq8,European Journal of Dermatology,"Male sex, severe acne, GAGS score greater than 28, more than 44 facial comedones, two facial nodules, and truncal nodules are predictive of severe acne flare during isotretinoin treatment.","The research paper discusses predictive factors for severe acne flare during isotretinoin treatment, which can be considered a side effect.","Factors identified as predictive of severe flare include male sex, severe acne, a GAGS cut-off score greater than 28, presence of more than 44 facial comedones, 2 facial nodules, and presence of truncal nodules.",These factors indicate a correlation with worse side effects in terms of acne flare severity.,,,YES,https://typeset.io/authors/zeynep-demircay-3r3v67kp24,Zeynep Demirçay,,,26,
Open access,,,https://typeset.io/papers/clinical-and-laboratory-adverse-effects-associated-with-long-5an7v1xp9d,"9. Clinical and Laboratory Adverse Effects Associated with Long- Term, Low-Dose lsotretinoin: Incidence and Risk Factors",,+6 more,01 Jan 1993,,,"Male gender, very fair skin, and elevated pretreatment triglyceride levels are associated risk factors for experiencing worse side effects from isotretinoin.","The research paper discusses factors associated with worse side effects from long-term, low-dose isotretinoin.","It identifies male gender, very fair skin, and elevated pretreatment triglyceride levels as risk factors for developing adverse effects.",The incidence of adverse mucocutaneous effects and serum triglyceride elevations was significantly higher in the isotretinoin group.,,,YES,https://typeset.io/authors/joseph-a-tangrea-2qblm3p2jm,Joseph A. Tangrea,,,,
Journal Article,https://www.doi.org/10.7759/cureus.55946,DOI,https://typeset.io/papers/side-effects-of-treating-acne-vulgaris-with-isotretinoin-a-llrlmhd3fp,10. Side Effects of Treating Acne Vulgaris With Isotretinoin: A Systematic Review,Ishika Rajput,+1 more,11 Mar 2024,https://typeset.io/journals/cureus-2whepbxw,Cureus,"Factors influencing the severity of isotretinoin side effects include dosage, duration of treatment, individual patient characteristics, and pre-existing health conditions.",The provided context does not mention specific factors that are involved with worse side effects of isotretinoin treatment for acne vulgaris.,"The review article focuses on the overview of side effects, their incidence, management strategies, and the influence on patients' quality of life, but does not detail factors that exacerbate side effects.",,,,NO,,,,,,
